day,capital
0,100420625.4599092
1,101761812.72697374
2,104246975.11396241
3,103498391.03154342
4,102549183.48095137
5,103871132.02753426
6,105188937.82929885
7,105978513.8339739
8,105245403.13529493
9,105522408.90533158
10,107474651.13615766
11,108288506.4923617
12,107827395.757647
13,107926069.46885352
14,107917626.9134891
15,108759627.25860325
16,107747029.07652967
17,106762818.99338432
18,107812788.62600149
19,108028890.88653876
20,109292366.41890556
21,108740201.06998535
22,108595586.30419157
23,109245438.48694524
24,110413113.45134528
25,109538012.76594053
26,110813126.9600722
27,111229097.78818882
28,111779392.5748676
29,110332027.4995209
30,111064890.08232123
31,110337637.77798446
32,110532817.70545845
33,112557382.35282923
34,112602012.66674203
35,113186247.80054845
36,113076291.12182628
37,112453061.33725747
38,112090605.40083764
39,111504208.36327314
40,111453970.98530304
41,110090066.60847092
42,108179260.06081238
43,109499808.33870137
44,108082886.8764441
45,107946080.63272154
46,107782465.87833704
47,107475170.19479461
48,106488416.75662
49,106095275.79918134
50,103805726.95044695
51,103012512.48841624
52,105066257.10759778
53,103899917.39199226
54,105920465.57339692
55,105683024.88923903
56,106944386.4231181
57,105575617.94065128
58,106649281.63983452
59,108283980.39883478
60,108385264.31289488
61,107602223.25209673
62,107729658.51967312
63,108716712.34267958
64,109220268.59085062
65,108390789.07199095
66,108700732.94312304
67,108069632.49487905
68,108697733.98102921
69,109978790.32019848
70,108896426.46743807
71,109158084.76423034
72,108471285.44858676
73,107958709.17288187
74,107573774.78711475
75,106316250.10372585
76,107702252.55028075
77,107236417.54738596
78,105876416.16741756
79,105319725.49187912
80,105595817.5627006
81,106507753.65632734
82,106081139.04161415
83,107213898.58343068
84,108573907.54826479
85,108183500.0250742
86,108582645.88217974
87,109081246.14432053
88,109205554.06355861
89,108315376.385156
90,107627614.16345534
91,107546705.28721127
92,108323127.63666254
93,109010481.54593231
94,108463268.86886306
95,107459929.10366398
96,107323244.43744545
97,107396045.32324499
98,107311932.1413784
99,107833422.05201808
100,108673587.78071545
101,108211384.22368124
102,109256764.85284911
103,109931267.72152114
104,110651158.60173734
105,110761853.07255383
106,110801714.9806787
107,110371152.61793368
108,110847745.07262059
109,110953086.47888288
